116,102,Жара,"Темпура Лосось, Темпура Крабик, Темпура в шапочке, Темпура Кура (32шт)",670,Наборы,https://susi.pizza/wp-content/uploads/2022/05/zhara-scaled-1.jpg
124,114,Космос,"Филка, Банзай, Аврора, Хосомаки Такуан, Хрустящий лосось, Хосомаки Чука, Хосомаки Лосось (65шт)",1700,Наборы,https://susi.pizza/wp-content/uploads/2022/05/kosmos-scaled-1.jpg
125,103,Люкс,"Филка, Буррто, Калифорния Лосось, Лёгкий (33шт)",1100,Наборы,https://susi.pizza/wp-content/uploads/2022/05/lyuks-scaled-1.jpg
126,115,Пикник,"Филка, Рыбонька, Каппа, Бонито, Хосомаки Такуан (41шт)",1100,Наборы,https://susi.pizza/wp-content/uploads/2022/05/piknik-scaled-1.jpg
127,104,По-японски,"Хосомаки лосось, Каппа, Хосомаки Тунец, Хосомаки Чука (32шт)",450,Наборы,https://susi.pizza/wp-content/uploads/2022/05/po-yaponski-scaled-1.jpg
128,105,Ребус,"Сырный-сырный, Норман, Чикен-краб, Темпура лосось (32шт)",900,Наборы,https://susi.pizza/wp-content/uploads/2022/05/rebus-scaled-1.jpg
129,106,Роза-Хутор,"Аврора, Буррито, Сливочная Курочка, Оригами (32шт)",850,Наборы,https://susi.pizza/wp-content/uploads/2022/05/rozahutor-scaled-1.jpg
130,111,Русалочка,"Филка, Банзай, Аврора, Рыбонька (33шт)",1000,Наборы,https://susi.pizza/wp-content/uploads/2022/05/rusalochka-scaled-1.jpg
137,110,Сушиман,"Темпура Лосось, Темпура Крабик, Темпура Комбо (24шт)",590,Наборы,https://susi.pizza/wp-content/uploads/2022/05/dizajn-bez-nazvaniya-2.png
138,107,"То, что надо!","Филка, Банзай, Темпура в шапочке, Темпура Кура , Печёная рыбка , Сырный-сырный (49шт)",1700,Наборы,https://susi.pizza/wp-content/uploads/2022/05/to-chto-nado-scaled-1.jpg
139,317,Филка Темпура,"Рис, лосось, сливочный сыр, огурец, кляр, сухари-панко (9шт)",470,Роллы Темпура,https://susi.pizza/wp-content/uploads/2022/05/tempura-tempura-scaled-1.jpg
140,316,Темпура Угорь,"Рис, жаренный угорь, сливочный сыр, огурец, кляр, сухари-панко (8шт)",350,Роллы Темпура,https://susi.pizza/wp-content/uploads/2022/05/tempura-ugor-scaled-1.jpg
141,315,Темпура Такуан,"Рис, копченая курица, сливочный сыр, такуан, кляр, сухари-панко (8шт)",220,Роллы Темпура,https://susi.pizza/wp-content/uploads/2022/05/tempura-takuan-scaled-1.jpg
142,314,Темпура Лосось,"Рис, лосось, сливочный сыр, огурец, кляр, сухари-панко (8шт)",250,Роллы Темпура,https://susi.pizza/wp-content/uploads/2022/05/tempura-losos-scaled-1.jpg
149,313,Темпура Кура,"Рис, копченная курица, сливочный сыр, огурец, кляр, сухари-панко (8шт)",190,Роллы Темпура,https://susi.pizza/wp-content/uploads/2022/05/tempura-kura-scaled-1.jpg
150,311,Темпура Крабик,"Рис, крабовый крем, сливочный сыр, огурец, кляр, сухари-панко (8шт)",220,Роллы Темпура,https://susi.pizza/wp-content/uploads/2022/05/tempura-krabik-scaled-1.jpg
151,310,Темпура Комбо,"Сырная лепешка, рис, копченная курица, сливочный сыр, огурец, плавленный сыр, кляр, сухари-панко (8шт)",260,Роллы Темпура,https://susi.pizza/wp-content/uploads/2022/05/tempura-kombo-scaled-1.jpg
152,309,Темпура в шапочке,"Рис, крабовый крем, сливочный сыр, омлет, кляр, сухари- панко (8шт)",240,Роллы Темпура,https://susi.pizza/wp-content/uploads/2022/05/tempura-v-shapochke-scaled-1.jpg
153,308,Темпура буррито Эби,"Сырная лепешка, креветка, лосось, сливочный сыр, огурец, кляр, сухари-панко (8шт)",330,Роллы Темпура,https://susi.pizza/wp-content/uploads/2022/05/tempura-burrito-ebi-scaled-1.jpg
154,307,Темпура буррито,"Сырная лепешка, копченная курица, сливочный сыр, огурец, помидор, кляр, сухари-панко (8шт)",220,Роллы Темпура,https://susi.pizza/wp-content/uploads/2022/05/tempura-burrito-scaled-1.jpg
161,306,Темпура бекон,,230,Роллы Темпура,https://susi.pizza/wp-content/uploads/2022/05/tempura-bekon-scaled-1.jpg
162,305,Таки Темпура,"Рис, лосось, сливочный сыр, такуан, кляр, сухари-панко (8шт)",260,Роллы Темпура,https://susi.pizza/wp-content/uploads/2022/05/taki-tempura-scaled-1.jpg
